aardvark	Aardvark
alligator	alligator
anaconda	anaconda
ant	fourmi
anteater	fourmilier
antelope	antilope
baboon	babouin
badger	blaireau
bat	chauve souris
bear	ours
beaver	castor
bee	abeille
beetle	scarabée
bird	oiseau
bison	bison
boar	sanglier
buffalo	buffle
bull	taureau
butterfly	papillon
camel	chameau
cassowary	casoar
cat	chat
caterpillar	chenille
cheetah	guépard
chicken	poulet
chimpanzee	chimpanzé
cobra	cobra
cockerel	jeune coq
cockroach	cafard
cow	vache
crab	Crabe
crane	grue
cricket	cricket
crocodile	crocodile
crow	corbeau
deer	cerf
dog	chien
dolphin	dauphin
donkey	âne
dove	Colombe
dragonfly	libellule
duck	canard
eagle	aigle
eel	anguille
elephant	l&#39;éléphant
emu	émeu
falcon	faucon
ferret	furet
firefly	luciole
fish	poisson
flamingo	flamant
fly	mouche
fox	Renard
frog	grenouille
gazelle	gazelle
gecko	gecko
gerbil	Gerbille
giraffe	girafe
glow worm	ver luisant
goat	chèvre
goose	oie
gorilla	gorille
grasshopper	sauterelle
grouse	grouse
guinea pig	Cochon d&#39;Inde
hamster	hamster
hare	lièvre
hawk	faucon
hedgehog	hérisson
hen	poule
heron	héron
hippopotamus	hippopotame
hornet	frelon
horse	cheval
hummingbird	colibri
hyena	hyène
iguana	Iguane
jaguar	jaguar
jellyfish	méduse
kangaroo	kangourou
killer whale	Orque
koala	koala
ladybird	coccinelle
lemur	maki
leopard	léopard
lion	Lion
lizard	lézard
llama	lama
lobster	Homard
locust	criquet
meerkat	Meerkat
mole	Môle
monkey	singe
moose	élan
mouse	Souris
mosquito	moustique
moth	papillon de nuit
narwhal	narval
newt	triton
octopus	poulpe
orca	Orque
ostrich	autruche
otter	loutre
owl	chouette
oyster	huître
panther	panthère
parrot	perroquet
panda	Panda
peacock	paon
pelican	pélican
penguin	manchot
pig	porc
pigeon	Pigeon
platypus	ornithorynque
polar bear	ours polaire
porcupine	Porc-épic
porpoise	marsouin
python	python
quail	Caille
rabbit	lapin
raccoon	raton laveur
rat	rat
raven	corbeau
reindeer	renne
rhinoceros	rhinocéros
salamander	salamandre
salmon	Saumon
sardine	sardine
scorpion	Scorpion
seagull	mouette
sea lion	Lion de mer
seahorse	hippocampe
seal	joint
shark	requin
sheep	mouton
shrew	musaraigne
skunk	moufette
sloth	la paresse
snail	escargot
snake	serpent
spider	Araign? e
squid	calamar
squirrel	écureuil
starfish	étoile de mer
stingray	Stingray
stork	cigogne
swan	cygne
termite	Termite
tiger	tigre
toad	crapaud
tortoise	tortue
turkey	dinde
turtle	tortue
vulture	vautour
walrus	morse
warthog	Phacochère
wasp	guêpe
weasel	belette
whale	baleine
wolf	Loup
wolverine	carcajou
worm	ver
zebra	zèbre
