aardvark	Erdferkel
alligator	Alligator
anaconda	Anakonda
ant	Ameise
anteater	Ameisenbär
antelope	Antilope
baboon	Pavian
badger	Dachs
bat	Schläger
bear	Bär
beaver	Biber
bee	Biene
beetle	Käfer
bird	Vogel
bison	Bison
boar	Eber
buffalo	Büffel
bull	Stier
butterfly	Schmetterling
camel	Kamel
cassowary	Kasuar
cat	Katze
caterpillar	Raupe
cheetah	Gepard
chicken	Hähnchen
chimpanzee	Schimpanse
cobra	Kobra
cockerel	Hähnchen
cockroach	Kakerlake
cow	Kuh
crab	Krabbe
crane	Kran
cricket	Kricket
crocodile	Krokodil
crow	Krähe
deer	Hirsch
dog	Hund
dolphin	Delphin
donkey	Esel
dove	Taube
dragonfly	Libelle
duck	Ente
eagle	Adler
eel	Aal
elephant	Elefant
emu	Emu
falcon	Falke
ferret	Frettchen
firefly	Glühwürmchen
fish	Fisch
flamingo	Flamingo
fly	Fliege
fox	Fuchs
frog	Frosch
gazelle	Gazelle
gecko	Gecko
gerbil	Gerbil
giraffe	Giraffe
glow worm	Glühwürmchen
goat	Ziege
goose	Gans
gorilla	Gorilla
grasshopper	Heuschrecke
grouse	Auerhahn
guinea pig	Meerschweinchen
hamster	Hamster
hare	Hase
hawk	Falke
hedgehog	Igel
hen	Henne
heron	Reiher
hippopotamus	Nilpferd
hornet	Hornisse
horse	Pferd
hummingbird	Kolibri
hyena	Hyäne
iguana	Leguan
jaguar	Jaguar
jellyfish	Qualle
kangaroo	Känguru
killer whale	Killerwal
koala	Koala
ladybird	Marienkäfer
lemur	Lemur
leopard	Leopard
lion	Löwe
lizard	Eidechse
llama	Lama
lobster	Hummer
locust	Heuschrecke
meerkat	Meerkat
mole	Maulwurf
monkey	Affe
moose	Elch
mouse	Maus
mosquito	Moskito
moth	Motte
narwhal	Narwal
newt	Newt
octopus	Tintenfisch
orca	Schwertwal
ostrich	Strauß
otter	Otter
owl	Eule
oyster	Auster
panther	Panther
parrot	Papagei
panda	Panda
peacock	Pfau
pelican	Pelikan
penguin	Pinguin
pig	Schwein
pigeon	Taube
platypus	Schnabeltier
polar bear	Eisbär
porcupine	Stachelschwein
porpoise	Tümmler
python	Python
quail	Wachtel
rabbit	Hase
raccoon	Waschbär
rat	Ratte
raven	Rabe
reindeer	Rentier
rhinoceros	Nashorn
salamander	Salamander
salmon	Lachs
sardine	Sardine
scorpion	Skorpion
seagull	Möwe
sea lion	Seelöwe
seahorse	Seepferdchen
seal	Dichtung
shark	Hai
sheep	Schaf
shrew	Spitzmaus
skunk	Skunk
sloth	Faultier
snail	Schnecke
snake	Schlange
spider	Spinne
squid	Tintenfisch
squirrel	Eichhörnchen
starfish	Seestern
stingray	Stachelrochen
stork	Storch
swan	Schwan
termite	Termite
tiger	Tiger
toad	Kröte
tortoise	Schildkröte
turkey	Truthahn
turtle	Schildkröte
vulture	Geier
walrus	Walross
warthog	Warzenschwein
wasp	Wespe
weasel	Wiesel
whale	Wal
wolf	Wolf
wolverine	Vielfraß
worm	Wurm
zebra	Zebra
