aardvark	Aardvark
alligator	jacaré
anaconda	Anaconda
ant	formiga
anteater	Anteater
antelope	antílope
baboon	babuíno
badger	texugo
bat	bastão
bear	Urso
beaver	Castor
bee	abelha
beetle	besouro
bird	pássaro
bison	Bisão
boar	javali
buffalo	búfalo
bull	touro
butterfly	borboleta
camel	camelo
cassowary	Cassowary
cat	gato
caterpillar	lagarta
cheetah	guepardo
chicken	galinha
chimpanzee	chimpanzé
cobra	Cobra
cockerel	Galo
cockroach	barata
cow	vaca
crab	caranguejo
crane	guindaste
cricket	Grilo
crocodile	crocodilo
crow	Corvo
deer	Cervo
dog	cachorro
dolphin	golfinho
donkey	asno
dove	pomba
dragonfly	libélula
duck	Pato
eagle	Águia
eel	enguia
elephant	elefante
emu	Emu
falcon	falcão
ferret	furão
firefly	Vaga-lume
fish	peixe
flamingo	flamingo
fly	mosca
fox	Raposa
frog	rã
gazelle	gazela
gecko	Gecko
gerbil	Gerbil
giraffe	girafa
glow worm	Verme incandescente
goat	bode
goose	Ganso
gorilla	gorila
grasshopper	gafanhoto
grouse	Grouse
guinea pig	cobaia
hamster	Hamster
hare	lebre
hawk	falcão
hedgehog	ouriço
hen	galinha
heron	Garça
hippopotamus	Hipopótamo
hornet	Zangão
horse	cavalo
hummingbird	beija Flor
hyena	hiena
iguana	Iguana
jaguar	jaguar
jellyfish	Água-viva
kangaroo	canguru
killer whale	orca
koala	Koala
ladybird	joaninha
lemur	Lemur
leopard	leopardo
lion	leão
lizard	lagarto
llama	Lhama
lobster	lagosta
locust	gafanhoto
meerkat	Meerkat
mole	toupeira
monkey	macaco
moose	Alce
mouse	rato
mosquito	mosquito
moth	traça
narwhal	Narval
newt	Newt
octopus	polvo
orca	Orca
ostrich	avestruz
otter	lontra
owl	coruja
oyster	ostra
panther	pantera
parrot	papagaio
panda	panda
peacock	pavão
pelican	pelicano
penguin	pinguim
pig	porco
pigeon	Pombo
platypus	Ornitorrinco
polar bear	Urso polar
porcupine	Porco-espinho
porpoise	Toninha
python	Python
quail	Codorna
rabbit	Coelho
raccoon	guaxinim
rat	rato
raven	corvo
reindeer	rena
rhinoceros	rinoceronte
salamander	salamandra
salmon	Salmão
sardine	sardinha
scorpion	escorpião
seagull	gaivota
sea lion	Leão marinho
seahorse	Cavalo marinho
seal	foca
shark	Tubarão
sheep	Ovelha
shrew	Musaraia
skunk	jaritataca
sloth	preguiça
snail	Caracol
snake	serpente
spider	aranha
squid	Lula
squirrel	esquilo
starfish	estrela do Mar
stingray	Raia
stork	cegonha
swan	cisne
termite	Cupim
tiger	tigre
toad	sapo
tortoise	tartaruga
turkey	Peru
turtle	tartaruga
vulture	abutre
walrus	morsa
warthog	javali
wasp	vespa
weasel	doninha
whale	baleia
wolf	Lobo
wolverine	Wolverine
worm	Minhoca
zebra	zebra
