aardvark	cerdo hormiguero
alligator	caimán
anaconda	anaconda
ant	hormiga
anteater	oso hormiguero
antelope	antílope
baboon	babuino
badger	tejón
bat	murciélago
bear	oso
beaver	castor
bee	abeja
beetle	escarabajo
bird	pájaro
bison	bisonte
boar	Jabali
buffalo	búfalo
bull	toro
butterfly	mariposa
camel	camello
cassowary	casuario
cat	gato
caterpillar	oruga
cheetah	leopardo cazador
chicken	Pollo
chimpanzee	chimpancé
cobra	cobra
cockerel	gallo joven
cockroach	cucaracha
cow	vaca
crab	cangrejo
crane	grua
cricket	Grillo
crocodile	cocodrilo
crow	cuervo
deer	ciervo
dog	perro
dolphin	delfín
donkey	Burro
dove	paloma
dragonfly	libélula
duck	Pato
eagle	águila
eel	Anguila
elephant	elefante
emu	emú
falcon	halcón
ferret	hurón
firefly	luciérnaga
fish	pescado
flamingo	flamenco
fly	mosca
fox	zorro
frog	rana
gazelle	gacela
gecko	geco
gerbil	Gerbo
giraffe	jirafa
glow worm	Gusano brillante
goat	cabra
goose	ganso
gorilla	gorila
grasshopper	saltamontes
grouse	queja
guinea pig	conejillo de indias
hamster	hámster
hare	liebre
hawk	halcón
hedgehog	erizo
hen	gallina
heron	garza
hippopotamus	hipopótamo
hornet	avispón
horse	caballo
hummingbird	Colibrí
hyena	hiena
iguana	Iguana
jaguar	jaguar
jellyfish	Medusa
kangaroo	canguro
killer whale	ballena asesina
koala	coala
ladybird	mariquita
lemur	lémur
leopard	leopardo
lion	león
lizard	lagartija
llama	llama
lobster	langosta
locust	langosta
meerkat	Meerkat
mole	Topo
monkey	mono
moose	alce
mouse	ratón
mosquito	mosquito
moth	polilla
narwhal	narval
newt	tritón
octopus	pulpo
orca	Orca
ostrich	avestruz
otter	nutria
owl	búho
oyster	ostra
panther	pantera
parrot	loro
panda	panda
peacock	pavo real
pelican	pelícano
penguin	pingüino
pig	cerdo
pigeon	Paloma
platypus	ornitorrinco
polar bear	oso polar
porcupine	puerco espín
porpoise	marsopa
python	pitón
quail	codorniz
rabbit	Conejo
raccoon	mapache
rat	rata
raven	cuervo
reindeer	reno
rhinoceros	rinoceronte
salamander	salamandra
salmon	salmón
sardine	sardina
scorpion	escorpión
seagull	Gaviota
sea lion	León marino
seahorse	caballo de mar
seal	sello
shark	tiburón
sheep	oveja
shrew	musaraña
skunk	zorrillo
sloth	perezoso
snail	caracol
snake	serpiente
spider	araña
squid	calamar
squirrel	ardilla
starfish	estrella de mar
stingray	mantarraya
stork	cigüeña
swan	cisne
termite	termita
tiger	Tigre
toad	sapo
tortoise	tortuga
turkey	Turquía
turtle	Tortuga
vulture	buitre
walrus	morsa
warthog	jabalí
wasp	avispa
weasel	comadreja
whale	ballena
wolf	lobo
wolverine	glotón
worm	gusano
zebra	cebra
