school	colegio
university	Universidad
work	trabajo
hospital	hospital
library	biblioteca
dentist	dentista
doctors	médicos
factory	fábrica
hair dresser	peluquería
police station	estación de policía
butchers	carnicería
bakers	panadería
grocers	tienda de comestibles
market	mercado
supermarket	supermercado
home	casa
skyscraper	rascacielos
pub	pub
nightclub	Club nocturno
park	parque
swimming pool	piscina
ice rink	pista de hielo
gym	gimnasio
farm	granja
cafe	cafetería
restaurant	restaurante
church	Iglesia
cathedral	catedral
mosque	mezquita
synagogue	sinagoga
garage	garaje
motorway	autopista
village	pueblo
town	pueblo
city	ciudad
country	país
countryside	campo
shoe shop	tienda de zapatos
bank	banco
arcade	arcada
mall	centro comercial
stadium	estadio
forest	bosque
beach	playa
